ATAC_peak	RT	ATAC_OCT4.ON	ATAC_OCT4.OFF
ATAC22857	ES	1.40807	1.92328
ATAC22858	ES	0.95	0.833115
ATAC22859	ES	2.79743	3.47466
ATAC22860	ES	1.09195	1.39644
ATAC22861	ES	0.750469	0.570572
ATAC22862	ES	0.935783	1.07564
ATAC22863	ES	0.862611	1.31581
ATAC22864	ES	2.49432	3.12018
ATAC22865	ES	0.775758	0.766003
ATAC22866	ES	0.758914	0.874712
ATAC22867	ES	2.16266	2.85766
ATAC22868	ES	3.25216	3.74877
ATAC22869	ES	1.94547	2.48805
ATAC22870	ES	2.06786	2.7666
ATAC22871	ES	0.729291	0.689991
ATAC22872	ES	0.957033	0.733522
ATAC22873	ES	2.08277	2.92313
ATAC22874	ES	1.17207	1.3964
ATAC22875	ES	2.48273	3.47917
ATAC22876	ES	1.45224	1.55371
ATAC22877	ES	0.809491	1.06486
ATAC22878	ES	0.851611	1.03235
ATAC22879	ES	0.998895	1.34169
ATAC22880	ES	2.90494	3.75986
ATAC22881	ES	1.19304	1.58641
ATAC22882	ES	1.13827	1.12996
ATAC22883	ES	3.45059	4.03387
ATAC22884	ES	0.74624	1.32013
ATAC22885	ES	2.06947	2.50931
ATAC22886	ES	1.38696	1.5049
ATAC22887	ES	0.944413	1.17894
ATAC22888	ES	0.849455	1.20596
ATAC22889	ES	3.27138	4.17241
ATAC22890	ES	2.74039	4.82458
ATAC22891	ES	1.30681	1.63525
ATAC22892	ES	3.18305	4.18899
ATAC22893	ES	1.46218	2.06343
ATAC22894	ES	2.40735	3.35226
ATAC22895	ES	3.31388	5.21042
ATAC22896	ES	1.78753	2.9011
ATAC22897	ES	1.37229	1.66257
ATAC22898	ES	1.66324	2.24383
ATAC22899	ES	0.758838	1.03212
ATAC22900	ES	1.98149	2.73822
ATAC22901	ES	0.688282	0.897867
ATAC22902	ES	0.691185	0.874299
ATAC22903	ES	1.30692	1.34203
ATAC22904	ES	2.17132	2.90675
ATAC22905	ES	0.965431	0.945312
ATAC22906	ES	1.86338	3.00406
ATAC22907	ES	0.982288	1.30942
ATAC22908	ES	0.986558	1.90712
ATAC22909	ES	1.28172	1.62461
ATAC22910	ES	0.834775	0.885666
ATAC22911	ES	0.775733	0.853115
ATAC22912	ES	1.83606	2.33347
ATAC22913	ES	1.23097	1.74382
ATAC22914	ES	1.35759	1.42893
ATAC22915	ES	1.25639	1.71149
ATAC22916	ES	1.02872	1.15184
ATAC22917	ES	2.40277	3.7375
ATAC22918	ES	3.01527	4.15043
ATAC22919	ES	1.63164	2.03745
ATAC22920	ES	1.86329	2.55338
ATAC22923	ES	0.990703	1.27119
ATAC22924	ES	1.31123	1.71686
ATAC22925	ES	1.02027	1.27149
ATAC22926	ES	2.44096	3.50983
ATAC22927	ES	3.73203	5.15703
ATAC22928	ES	1.47119	1.37268
ATAC22929	ES	2.22165	3.25149
ATAC22930	ES	1.30473	1.40444
ATAC22931	ES	1.39554	1.85274
ATAC22932	ES	2.36106	3.47178
ATAC22933	ES	1.60637	1.86355
ATAC22934	ES	1.28556	1.1296
ATAC22935	ES	0.897932	1.43977
ATAC22936	ES	1.51142	1.96134
ATAC22937	ES	2.96309	2.91108
ATAC22938	ES	1.58903	2.27862
ATAC22939	ES	1.04972	1.02672
ATAC22940	ES	1.4123	2.559
ATAC22941	ES	0.864277	0.608514
ATAC22942	ES	0.782075	0.952146
ATAC22943	ES	1.86769	2.03758
ATAC22944	ES	1.70876	2.14581
ATAC22945	ES	1.62316	1.60288
ATAC22946	ES	0.935842	0.7281
ATAC22959	ES	0.864062	0.84208
ATAC22960	ES	2.58015	2.70561
ATAC22961	ES	1.77877	1.6242
ATAC22962	ES	1.03246	0.993865
ATAC22963	ES	2.51246	1.771
ATAC22986	ES	0.919049	0.635669
ATAC22987	ES	1.44821	1.39363
ATAC22988	ES	2.04479	0.630306
ATAC22989	ES	2.3484	2.47214
ATAC22990	ES	0.813717	0.423759
ATAC22995	ES	0.836156	0.874634
ATAC22996	ES	0.733562	0.483607
ATAC22997	ES	1.59759	0.608389
ATAC22998	ES	2.16286	2.76007
ATAC23000	ES	0.931664	0.42916
ATAC23001	ES	1.68125	1.21095
ATAC23002	ES	2.28506	2.65679
ATAC23010	ES	0.872721	0.842128
ATAC23011	ES	4.93919	2.94756
ATAC23012	ES	1.03295	0.58678
ATAC23013	ES	0.746261	0.853023
ATAC23031	ES	1.34691	0.918133
ATAC23032	ES	0.91474	0.374865
ATAC23033	ES	2.79858	0.825552
ATAC23034	ES	3.03472	1.09199
ATAC23035	ES	4.59858	5.10296
ATAC23036	ES	0.99917	0.456462
ATAC23037	ES	1.77452	1.30362
ATAC23075	ES	1.28172	0.336898
ATAC23076	ES	2.33149	0.852941
ATAC23077	ES	1.70329	1.04859
ATAC23078	ES	1.23102	0.874728
ATAC23079	ES	0.990559	0.901765
ATAC23080	ES	2.26409	1.86902
ATAC21962	ES	3.12394	2.52871
ATAC21963	ES	0.691198	0.776794
ATAC21964	ES	1.15478	1.26546
ATAC23119	ES	1.38248	0.950572
ATAC23120	ES	4.20351	3.74354
ATAC23121	ES	3.95684	4.09392
ATAC23122	ES	1.24734	0.668057
ATAC23123	ES	1.4061	1.00774
ATAC23124	ES	0.986513	0.847372
ATAC23125	ES	4.65207	3.69708
ATAC23126	ES	4.07256	3.42553
ATAC23127	ES	1.80449	1.18436
ATAC23128	ES	1.6105	0.581284
ATAC23215	ES	2.58936	0.593585
ATAC23216	ES	2.05743	1.71152
ATAC23217	ES	4.87376	4.33566
ATAC23218	ES	1.15515	1.11376
ATAC23235	ES	0.737816	0.505232
ATAC23236	ES	1.94265	1.21647
ATAC23237	ES	1.38705	0.478097
ATAC23238	ES	4.62289	1.32325
ATAC25331	ES	1.74813	0.880157
ATAC25332	ES	1.37646	0.866817
ATAC25333	ES	0.787326	0.681849
ATAC25334	ES	3.51822	3.56954
ATAC25335	ES	1.30277	1.11922
ATAC25336	ES	0.796755	0.592187
ATAC25337	ES	1.66525	0.782411
ATAC25338	ES	1.95835	1.71681
ATAC25339	ES	2.93655	3.68933
ATAC25340	ES	0.910676	1.35282
ATAC25341	ES	1.09188	1.24955
ATAC25342	ES	2.28926	3.48814
ATAC25343	ES	0.847298	0.733479
ATAC25344	ES	0.969699	1.00527
ATAC25345	ES	1.16505	0.668309
ATAC25346	ES	1.41017	1.97764
ATAC25350	ES	1.89727	2.89047
ATAC25351	ES	0.826217	0.934462
ATAC25352	ES	1.01183	1.5537
ATAC25360	ES	1.10042	1.4399
ATAC25361	ES	1.19665	1.73756
ATAC25362	ES	1.72616	2.08628
ATAC25363	ES	2.58026	3.90102
ATAC25364	ES	0.931673	1.04852
ATAC25365	ES	1.0656	0.510752
ATAC25366	ES	1.55133	1.83081
ATAC25367	ES	1.619	2.05921
ATAC25368	ES	0.979146	1.27666
ATAC25369	ES	0.910431	1.02657
ATAC25370	ES	1.0962	1.23882
ATAC25371	ES	0.93599	1.21713
ATAC25372	ES	1.3913	2.04285
ATAC25373	ES	2.41104	1.89587
ATAC25378	ES	0.885008	1.17307
ATAC25379	ES	0.843133	1.06486
ATAC25380	ES	1.05114	1.51038
ATAC25381	ES	1.07903	1.40671
ATAC25382	ES	0.906376	1.15707
ATAC25383	ES	1.41573	2.15029
ATAC25384	ES	2.58868	3.69448
ATAC25385	ES	1.22683	1.56467
ATAC25386	ES	2.06381	2.29019
ATAC25387	ES	1.01186	0.467269
ATAC25388	ES	1.15926	1.21157
ATAC25389	ES	0.998853	1.28184
ATAC25390	ES	2.52097	4.20467
ATAC25391	ES	1.73696	2.23301
ATAC25392	ES	1.07085	0.994365
ATAC25393	ES	1.31311	1.21156
ATAC25394	ES	1.01606	1.56484
ATAC25396	ES	1.32383	1.70053
ATAC25397	ES	0.864294	0.548828
ATAC25398	ES	0.834716	1.07026
ATAC25399	ES	1.37443	1.80378
ATAC25400	ES	1.94353	1.67855
ATAC25401	ES	1.03294	0.999819
ATAC25402	ES	1.27289	1.42317
ATAC25403	ES	1.682	1.68963
ATAC25405	ES	1.99839	2.45037
ATAC25406	ES	1.17175	0.945193
ATAC25407	ES	1.60605	1.39066
ATAC25408	ES	1.90352	2.30076
ATAC25409	ES	2.79742	3.24644
ATAC25410	ES	2.35261	2.82522
ATAC25411	ES	1.17913	1.43616
ATAC25412	ES	0.855747	1.01601
ATAC25435	ES	1.18035	0.836646
ATAC25436	ES	1.95627	1.92335
ATAC25437	ES	1.71175	1.40714
ATAC25438	ES	2.06154	2.60244
ATAC25449	ES	1.0161	0.923579
ATAC25450	ES	1.44962	1.33079
ATAC25451	ES	4.29538	4.53783
ATAC25452	ES	2.03059	2.26371
ATAC25453	ES	0.9823	1.22234
